id,name
1,Backend Developer
2,Frontend Developer
3,Fullstack Developer
4,Mobile Developer
5,DevOps Engineer
6,QA / Tester
7,Data Engineer
8,Data Scientist
9,AI Engineer
10,Business Analyst
11,Project Manager
12,Product Manager
13,UI/UX Designer
14,System Admin
15,Security Engineer
