id,name
122,Ngân Hàng TMCP Quốc Dân ( NCB )
123,CRESYN Hà Nội R&D Center
124,Ecarx
125,CÔNG TY TNHH ĐỒ CHƠI THÔNG MINH SUN VIGOR VIỆT NAM
126,Công Ty Cổ Phần Giải Pháp Công Nghệ Hctech
127,Công ty TNHH Thương Mại Trí Khang
128,CÔNG TY CỔ PHẦN TIN HỌC VIỄN THÔNG VINAFORE
129,Công Ty Cổ Phần Nhựa Thiếu Niên Tiền Phong Phía Nam
130,Công Ty TNHH Tp-Link Technologies Việt Nam
131,GSM
132,CÔNG TY CỔ PHẦN UNIK XANH
133,Công Ty TNHH MTV Thương Mại Sản Xuất Lạc Long
134,Công Ty TNHH Sumitomo Heavy Industries (Việt Nam)
135,Công Ty Cổ Phần Quốc Tế Sơn Hà
136,Công Ty Cổ Phần Chứng Khoán MB
137,VGU - Vietnamese German University
138,Công Ty TNHH Kintetsu World Express Việt Nam
139,"Sumitomo Electric Interconnect Products (Vietnam), Ltd. [Sepv]"
140,Star Telecom (Viettel Lao)
141,Công ty TNHH SR Group
142,CÔNG TY TNHH ALLIED CIRCUIT MEIKO VIỆT NAM
143,FE CREDIT
144,Công Ty Cổ Phần Xây Dựng Long Việt (Thuộc Tập Đoàn Hòa Phát)
145,Công Ty TNHH Money Forward Việt Nam
146,Hapam Vietnam Ltd.
147,CÔNG TY CỔ PHẦN THIẾT BỊ CÔNG NGHIỆP GEIC
148,"TECHVICO CO., LTD"
149,Mizuno Viet Nam Company Limited
150,Masan Consumer Holdings
151,"INOUE Rubber Vietnam CO., LTD."
152,Công Ty CP Chứng Khoán Bảo Minh
153,CÔNG TY CỔ PHẦN OPEN HEALTHCARE VIỆT NAM
154,BIDV MetLife
155,Công Ty Cổ Phần Chuỗi Thực Phẩm TH
156,Công Ty Cổ Phần Đầu Tư Và Kinh Doanh Nhà Khang Điền
157,Công Ty TNHH FPT Smart Cloud
158,CÔNG TY TNHH KSM ENG VINA
159,Công Ty TNHH Giải Pháp Công Nghệ Cộng
