id,job_id,level_id
1,5001,1
2,5192,1
3,5034,1
4,5078,1
5,5104,1
6,7328,1
7,5150,1
8,5245,1
9,5247,1
10,5301,1
11,5355,1
12,5367,1
13,5394,1
14,5401,1
15,5424,1
16,5438,1
17,5450,1
18,5556,1
19,5560,1
20,5567,1
21,5568,1
22,5574,1
23,5580,1
24,5583,1
25,5586,1
26,5590,1
27,5599,1
28,5610,1
29,5611,1
30,5616,1
31,5624,1
32,5631,1
33,5693,1
34,5701,1
35,5728,1
36,5777,1
37,5866,1
38,5883,1
39,5895,1
40,35,1
41,92,1
42,204,1
43,227,1
44,1122,1
45,3172,1
46,3192,1
47,3616,1
48,3960,1
49,4730,1
50,6007,1
51,6252,1
52,403,1
53,6429,1
54,482,1
55,483,1
56,484,1
57,71,1
58,245,1
59,235,1
60,291,1
61,295,1
62,314,1
63,316,1
64,351,1
65,490,1
66,368,1
67,1296,1
68,391,1
69,434,1
70,462,1
71,459,1
72,481,1
73,486,1
74,488,1
75,491,1
76,559,1
77,4959,1
78,569,1
79,591,1
80,593,1
81,607,1
82,619,1
83,5519,1
84,629,1
85,638,1
86,663,1
87,746,1
88,721,1
89,699,1
90,743,1
91,759,1
92,760,1
93,772,1
94,778,1
95,827,1
96,806,1
97,838,1
98,841,1
99,853,1
100,864,1
101,865,1
102,902,1
103,906,1
104,907,1
105,1016,1
106,1043,1
107,1075,1
108,1161,1
109,1176,1
110,1517,1
111,5042,1
112,1599,1
113,1663,1
114,1679,1
115,1738,1
116,1752,1
117,1788,1
118,1793,1
119,1796,1
120,1801,1
121,1809,1
122,1834,1
123,1837,1
124,1870,1
125,1898,1
126,1900,1
127,1907,1
128,1917,1
129,1942,1
130,1976,1
131,2118,1
132,2169,1
133,2204,1
134,2214,1
135,2313,1
136,4196,1
137,2341,1
138,2467,1
139,2588,1
140,2629,1
141,2632,1
142,5197,1
143,5468,1
144,5481,1
145,2727,1
146,2739,1
147,5989,1
148,2738,1
149,62,1
150,2772,1
151,2790,1
152,2899,1
153,5077,1
154,2916,1
155,2953,1
156,3042,1
157,3188,1
158,3222,1
159,4937,1
160,3232,1
161,3258,1
162,3268,1
163,3290,1
164,3291,1
165,3318,1
166,3368,1
167,3420,1
168,3424,1
169,3467,1
170,3596,1
171,3650,1
172,3765,1
173,3787,1
174,3939,1
175,3942,1
176,3963,1
177,3967,1
178,4611,1
179,4063,1
180,4126,1
181,4284,1
182,4157,1
183,4265,1
184,4266,1
185,4274,1
186,224,1
187,4291,1
188,4326,1
189,4336,1
190,4339,1
191,4356,1
192,4413,1
193,4432,1
194,4440,1
195,4458,1
196,4473,1
197,4515,1
198,4668,1
199,4686,1
200,4706,1
201,5241,1
202,6084,1
203,6111,1
204,6124,1
205,6128,1
206,6164,1
207,6175,1
208,6225,1
209,14,1
210,6270,1
211,6303,1
212,6323,1
213,6340,1
214,6353,1
215,6370,1
216,6372,1
217,6378,1
218,6414,1
219,6427,1
220,6444,1
221,6447,1
222,6452,1
223,6488,1
224,6491,1
225,6502,1
226,6541,1
227,6550,1
228,6554,1
229,6631,1
230,6642,1
231,6658,1
232,6672,1
233,6709,1
234,6800,1
235,6812,1
236,6875,1
237,6902,1
238,6947,1
239,6961,1
240,6969,1
241,6982,1
242,6986,1
243,6989,1
244,7006,1
245,3,1
246,4762,1
247,7184,1
248,98,1
249,7208,1
250,4769,1
251,4778,1
252,4805,1
253,5121,1
254,4842,1
255,4844,1
256,4846,1
257,5127,1
258,5140,1
259,5992,1
260,4878,1
261,4882,1
262,4967,1
263,4891,1
264,5160,1
265,5161,1
266,4934,1
267,5268,1
268,5601,1
269,26,1
270,159,1
271,575,1
272,749,1
273,895,1
274,5,1
275,6834,1
276,15,2
277,53,2
278,56,2
279,58,2
280,180,2
281,210,2
282,710,2
283,811,2
284,1053,2
285,1066,2
286,1093,2
287,1116,2
288,1213,2
289,1332,2
290,1524,2
291,1694,2
292,1877,2
293,4550,2
294,2518,2
295,2644,2
296,2905,2
297,2996,2
298,3245,2
299,3346,2
300,3480,2
301,3601,2
302,4117,2
303,4362,2
304,4678,2
305,6612,2
306,6748,2
307,7268,2
308,74,2
309,84,2
310,95,2
311,96,2
312,1245,2
313,647,2
314,1253,2
315,120,2
316,121,2
317,136,2
318,142,2
319,143,2
320,144,2
321,145,2
322,147,2
323,150,2
324,153,2
325,154,2
326,160,2
327,162,2
328,163,2
329,164,2
330,166,2
331,175,2
332,178,2
333,181,2
334,202,2
335,215,2
336,231,2
337,247,2
338,1261,2
339,1278,2
340,1280,2
341,1282,2
342,301,2
343,307,2
344,310,2
345,313,2
346,317,2
347,330,2
348,331,2
349,338,2
350,350,2
351,355,2
352,360,2
353,361,2
354,370,2
355,378,2
356,379,2
357,382,2
358,433,2
359,396,2
360,392,2
361,440,2
362,441,2
363,442,2
364,443,2
365,445,2
366,446,2
367,467,2
368,474,2
369,485,2
370,493,2
371,494,2
372,495,2
373,535,2
374,540,2
375,541,2
376,543,2
377,544,2
378,554,2
379,561,2
380,564,2
381,595,2
382,599,2
383,601,2
384,602,2
385,605,2
386,606,2
387,617,2
388,620,2
389,630,2
390,632,2
391,633,2
392,655,2
393,660,2
394,664,2
395,665,2
396,668,2
397,671,2
398,674,2
399,709,2
400,687,2
401,689,2
402,694,2
403,704,2
404,714,2
405,716,2
406,719,2
407,720,2
408,724,2
409,730,2
410,734,2
411,744,2
412,747,2
413,751,2
414,752,2
415,753,2
416,776,2
417,782,2
418,783,2
419,784,2
420,786,2
421,789,2
422,795,2
423,801,2
424,804,2
425,810,2
426,825,2
427,832,2
428,837,2
429,840,2
430,844,2
431,846,2
432,847,2
433,852,2
434,871,2
435,873,2
436,879,2
437,883,2
438,893,2
439,896,2
440,901,2
441,908,2
442,913,2
443,920,2
444,929,2
445,930,2
446,948,2
447,949,2
448,970,2
449,971,2
450,974,2
451,991,2
452,1003,2
453,1014,2
454,1017,2
455,1022,2
456,1048,2
457,1056,2
458,1067,2
459,1069,2
460,1079,2
461,1085,2
462,1086,2
463,1130,2
464,1131,2
465,1145,2
466,1158,2
467,1177,2
468,1178,2
469,1207,2
470,1193,2
471,1200,2
472,1335,2
473,1353,2
474,1396,2
475,1404,2
476,1410,2
477,1414,2
478,1426,2
479,1435,2
480,1439,2
481,1445,2
482,1455,2
483,1458,2
484,1459,2
485,1473,2
486,1474,2
487,1480,2
488,1481,2
489,1512,2
490,1513,2
491,1514,2
492,1518,2
493,1522,2
494,1542,2
495,1550,2
496,1560,2
497,1562,2
498,1566,2
499,1611,2
500,1616,2
501,1633,2
502,1643,2
503,1659,2
504,1671,2
505,1715,2
506,1674,2
507,1684,2
508,1696,2
509,1701,2
510,1733,2
511,1746,2
512,1766,2
513,1775,2
514,1780,2
515,1782,2
516,1797,2
517,1804,2
518,1808,2
519,1810,2
520,1812,2
521,1823,2
522,1856,2
523,1863,2
524,1901,2
525,1908,2
526,1928,2
527,1938,2
528,1943,2
529,1951,2
530,1952,2
531,1953,2
532,1957,2
533,1965,2
534,1979,2
535,1981,2
536,2008,2
537,2011,2
538,2015,2
539,2020,2
540,2032,2
541,2053,2
542,2067,2
543,2091,2
544,2093,2
545,2095,2
546,2103,2
547,2107,2
548,2108,2
549,2111,2
550,4569,2
551,2162,2
552,2167,2
553,2179,2
554,2183,2
555,2186,2
556,2207,2
557,2216,2
558,2218,2
559,2235,2
560,2262,2
561,2272,2
562,2303,2
563,2304,2
564,2337,2
565,2346,2
566,2373,2
567,2380,2
568,2387,2
569,2410,2
570,2426,2
571,2440,2
572,2449,2
573,2477,2
574,2501,2
575,2524,2
576,2569,2
577,2577,2
578,2753,2
579,2583,2
580,2586,2
581,2594,2
582,2603,2
583,2605,2
584,2670,2
585,2673,2
586,2696,2
587,2703,2
588,2709,2
589,2712,2
590,2917,2
591,2755,2
592,2761,2
593,2778,2
594,2780,2
595,2782,2
596,2795,2
597,2803,2
598,2829,2
599,2834,2
600,2865,2
601,2873,2
602,2876,2
603,2878,2
604,2914,2
605,2918,2
606,2936,2
607,2938,2
608,2943,2
609,2955,2
610,2956,2
611,2959,2
612,2983,2
613,2985,2
614,2992,2
615,3010,2
616,3015,2
617,3027,2
618,3030,2
619,3064,2
620,3107,2
621,3120,2
622,3166,2
623,3186,2
624,3199,2
625,3200,2
626,3204,2
627,3225,2
628,3231,2
629,3239,2
630,3249,2
631,3261,2
632,3270,2
633,3275,2
634,3276,2
635,3300,2
636,3307,2
637,3350,2
638,3352,2
639,3366,2
640,3369,2
641,3374,2
642,3381,2
643,3392,2
644,3419,2
645,3423,2
646,3429,2
647,3443,2
648,3448,2
649,3459,2
650,3462,2
651,3470,2
652,3479,2
653,3576,2
654,3579,2
655,3580,2
656,3602,2
657,3604,2
658,3618,2
659,3631,2
660,3632,2
661,3674,2
662,3677,2
663,3681,2
664,3693,2
665,4214,2
666,3786,2
667,3838,2
668,3846,2
669,3850,2
670,3859,2
671,3862,2
672,3863,2
673,3879,2
674,3883,2
675,3885,2
676,3891,2
677,3898,2
678,3899,2
679,3901,2
680,3909,2
681,3910,2
682,3912,2
683,3917,2
684,3930,2
685,3947,2
686,3952,2
687,3954,2
688,3955,2
689,3965,2
690,4588,2
691,4596,2
692,4597,2
693,4601,2
694,4017,2
695,4602,2
696,4614,2
697,4060,2
698,4065,2
699,4083,2
700,4094,2
701,4099,2
702,4101,2
703,4102,2
704,4105,2
705,4106,2
706,4140,2
707,4149,2
708,4151,2
709,4195,2
710,4197,2
711,4198,2
712,4203,2
713,4211,2
714,4219,2
715,4222,2
716,4223,2
717,4232,2
718,4257,2
719,4263,2
720,7203,2
721,4264,2
722,4267,2
723,4278,2
724,4279,2
725,4312,2
726,4338,2
727,4369,2
728,4374,2
729,4379,2
730,4388,2
731,4395,2
732,4398,2
733,4424,2
734,4427,2
735,4428,2
736,4435,2
737,11,2
738,4452,2
739,4623,2
740,4632,2
741,4636,2
742,4644,2
743,4647,2
744,4693,2
745,4709,2
746,4713,2
747,4722,2
748,5232,2
749,5480,2
750,5492,2
751,6008,2
